snapshot_id,seq_num,time_since_start_ms,timestamp_epoch_ms,latency_ms,jitter_ms,perceived_position_error,bandwidth_per_client_kbps
0,0,2911.143,187167.664312,0.216,0.146,0,
1,1,2962.056,187218.577366,0.204,0.013,0,
2,2,3014.012,187270.533457,0.299,0.096,0,
3,3,3065.035,187321.556691,0.234,0.066,0,
4,4,3115.818,187372.339483,0.165,0.069,0,
5,5,3166.453,187422.974442,0.092,0.073,0,
6,6,3217.239,187473.76112200003,0.104,0.012,0,
7,7,3267.761,187524.282506,0.122,0.018,0,
8,8,3318.512,187575.033593,0.104,0.018,0,
9,9,3369.126,187625.64768999998,0.145,0.041,0,
10,10,3419.78,187676.301408,0.115,0.03,0,
11,11,3470.574,187727.096044,0.125,0.01,0,
12,12,3521.324,187777.845775,0.181,0.056,0,
13,13,3571.709,187828.230836,0.092,0.089,0,
14,14,3622.869,187879.390978,0.176,0.084,0,
15,15,3673.625,187930.14687300002,0.122,0.054,0,
16,16,3724.244,187980.765544,0.11,0.012,0,
17,17,3775.057,188031.578365,0.194,0.084,0,
18,18,3825.509,188082.031147,0.095,0.099,0,
19,19,3876.131,188132.653222,0.091,0.004,0,
20,20,3926.86,188183.38168299999,0.132,0.041,0,
21,21,3977.356,188233.877264,0.072,0.06,0,
22,22,4028.231,188284.753238,0.185,0.113,0,
23,23,4078.806,188335.328233,0.128,0.057,0,
24,24,4129.263,188385.785145,0.093,0.035,0,
25,25,4180.034,188436.556099,0.12,0.027,0,
26,26,4230.744,188487.265642,0.117,0.004,0,
27,27,4281.813,188538.33426899998,0.173,0.057,0,
28,28,4332.344,188588.866007,0.084,0.09,0,
29,29,4382.777,188639.298794,0.072,0.012,0,
30,30,4433.567,188690.08887,0.123,0.051,0,
31,31,4484.09,188740.611481,0.093,0.03,0,
32,32,4534.586,188791.107817,0.125,0.032,0,
33,33,4585.148,188841.670147,0.159,0.034,0,
34,34,4635.948,188892.469842,0.163,0.003,0,
35,35,4686.91,188943.431473,0.308,0.145,0,
36,36,4737.93,188994.45148800002,0.212,0.096,0,
37,37,4788.901,189045.422652,0.127,0.085,0,
