snapshot_id,seq_num,time_since_start_ms,timestamp_epoch_ms,latency_ms,jitter_ms,perceived_position_error,bandwidth_per_client_kbps
0,0,8600.753,619813.911939,0.166,0.057,0,
1,1,8651.931,619865.0902880001,0.412,0.246,0,
2,2,8703.07,619916.229568,0.374,0.038,0,
4,4,8806.323,620019.4821390001,0.302,0.072,0,
5,5,8857.35,620070.5094160001,0.321,0.019,0,
6,6,8907.83,620120.989379,0.281,0.041,0,
8,8,9009.334,620222.493358,0.162,0.119,0,
9,9,9059.92,620273.078778,0.166,0.004,0,
10,10,9110.498,620323.656739,0.22,0.054,0,
11,11,9161.158,620374.317238,0.183,0.038,0,
12,12,9211.854,620425.0133880001,0.176,0.007,0,
13,13,9262.5,620475.658947,0.196,0.02,0,
14,14,9313.228,620526.386768,0.173,0.023,0,
15,15,9363.955,620577.114376,0.177,0.004,0,
16,16,9415.128,620628.28713,0.318,0.142,0,
17,17,9466.069,620679.228508,0.286,0.032,0,
18,18,9516.886,620730.045506,0.21,0.076,0,
20,20,9618.256,620831.414956,0.138,0.072,0,
21,21,9669.097,620882.256279,0.286,0.148,0,
22,22,9720.096,620933.25539,0.353,0.066,0,
23,23,9771.46,620984.618809,0.177,0.176,0,
24,24,9822.237,621035.3965660001,0.255,0.079,0,
25,25,9872.897,621086.056309,0.166,0.089,0,
26,26,9924.039,621137.197795,0.343,0.176,0,
27,27,9974.912,621188.071049,0.237,0.105,0,
28,28,10025.816,621238.9748729999,0.224,0.013,0,
29,29,10076.967,621290.1259819999,0.241,0.017,0,
30,30,10127.56,621340.7187569999,0.195,0.046,0,
31,31,10178.655,621391.8137859999,0.562,0.367,0,
32,32,10229.044,621442.2029690001,0.219,0.343,0,
33,33,10280.602,621493.760733,0.67,0.451,0,
34,34,10332.528,621545.687512,0.974,0.304,0,
35,35,10383.489,621596.6479369999,0.246,0.728,0,
36,36,10434.357,621647.51611,0.343,0.097,0,
37,37,10486.008,621699.167049,0.461,0.118,0,
38,38,10537.004,621750.162709,0.333,0.128,0,
39,39,10587.638,621800.797239,0.374,0.041,0,
40,40,10638.38,621851.539279,0.322,0.052,0,
41,41,10689.18,621902.339498,0.368,0.046,0,
42,42,10740.706,621953.8648300001,0.41,0.042,0,
43,43,10791.847,622005.006497,0.362,0.048,0,
44,44,10842.641,622055.800051,0.446,0.084,0,
45,45,10893.613,622106.77231,0.277,0.169,0,
46,46,10944.331,622157.490399,0.311,0.034,0,
47,47,10996.281,622209.4399379999,0.299,0.012,0,
48,48,11047.601,622260.760593,0.381,0.083,0,
