snapshot_id,seq_num,time_since_start_ms,timestamp_epoch_ms,latency_ms,jitter_ms,perceived_position_error,bandwidth_per_client_kbps
0,0,32073.298,564190180.696,0.363,0.313,0,
1,1,32125.819,564190233.2171249,0.161,0.202,0,
2,2,32179.415,564190286.81275,0.101,0.06,0,
3,3,32234.745,564190342.143041,0.114,0.013,0,
4,4,32367.609,564190475.0066661,77.643,77.528,0,
5,5,32368.048,564190475.446208,22.734,54.909,0,
6,6,32398.246,564190505.643541,0.113,22.621,0,
7,7,32453.669,564190561.066916,0.115,0.002,0,
8,8,32504.573,564190611.9710829,0.118,0.002,0,
9,9,32560.423,564190667.821291,0.288,0.171,0,
10,10,32615.971,564190723.369125,0.347,0.059,0,
11,11,32770.109,564190877.507,99.779,99.432,0,
12,12,32963.068,564191070.466,241.033,141.254,0,
13,13,32963.403,564191070.801333,185.876,55.157,0,
14,14,32963.777,564191071.175416,134.17,51.706,0,
15,15,32964.066,564191071.46425,81.824,52.346,0,
16,16,32964.365,564191071.7627081,27.471,54.353,0,
17,17,32992.382,564191099.780416,0.085,27.387,0,
18,18,33046.36,564191153.758291,0.131,0.046,0,
19,19,33098.855,564191206.253125,0.127,0.003,0,
20,20,33154.209,564191261.606833,0.154,0.026,0,
21,21,33209.495,564191316.8932079,0.11,0.044,0,
22,22,33264.948,564191372.3465,0.15,0.04,0,
23,23,33321.069,564191428.467208,0.379,0.229,0,
24,24,33374.084,564191481.4825,0.347,0.032,0,
25,25,33430.719,564191538.116583,0.973,0.627,0,
26,26,33485.999,564191593.397458,0.248,0.725,0,
27,27,33541.19,564191648.588333,0.251,0.003,0,
28,28,33596.867,564191704.2655,0.315,0.064,0,
29,29,33650.968,564191758.366416,0.337,0.022,0,
30,30,33775.751,564191883.149291,73.422,73.084,0,
31,31,33975.973,564192083.3707911,220.726,147.304,0,
32,32,33976.35,564192083.747791,164.8,55.926,0,
33,33,33976.697,564192084.094875,111.751,53.049,0,
34,34,33977.047,564192084.445208,57.522,54.229,0,
35,35,33977.401,564192084.79875,2.356,55.165,0,
36,36,34030.882,564192138.279958,0.241,2.115,0,
37,37,34086.719,564192194.1165409,0.285,0.044,0,
38,38,34139.74,564192247.1381251,0.229,0.056,0,
39,39,34194.623,564192302.0214161,0.339,0.11,0,
40,40,34247.835,564192355.232916,0.435,0.096,0,
41,41,34303.853,564192411.2512499,0.275,0.161,0,
42,42,34357.159,564192464.556958,0.377,0.102,0,
43,43,34411.664,564192519.062208,0.312,0.065,0,
44,44,34463.37,564192570.76825,0.265,0.047,0,
45,45,34518.684,564192626.081833,0.132,0.133,0,
46,46,34571.259,564192678.656625,0.138,0.006,0,
47,47,34626.668,564192734.0655409,0.13,0.008,0,
48,48,34683.454,564192790.851708,0.644,0.513,0,
49,49,34738.495,564192845.892541,0.236,0.408,0,
50,50,34790.374,564192897.77175,0.253,0.018,0,
51,51,34842.627,564192950.0246251,0.352,0.099,0,
52,52,34898.802,564193006.20025,0.323,0.03,0,
53,53,34951.657,564193059.055,0.239,0.084,0,
54,54,35002.9,564193110.2976661,0.283,0.044,0,
55,55,35058.863,564193166.260875,0.499,0.216,0,
56,56,35115.489,564193222.887,0.284,0.215,0,
57,57,35170.433,564193277.83075,0.253,0.031,0,
58,58,35222.615,564193330.013333,0.288,0.036,0,
59,59,35273.905,564193381.3027079,0.238,0.05,0,
60,60,35328.547,564193435.9455,0.242,0.003,0,
61,61,35381.755,564193489.152625,0.226,0.016,0,
62,62,35436.509,564193543.907041,0.287,0.061,0,
63,63,35489.4,564193596.797833,0.323,0.036,0,
64,64,35541.883,564193649.28125,0.292,0.031,0,
65,65,35595.808,564193703.206208,0.215,0.077,0,
66,66,35649.156,564193756.554125,0.244,0.029,0,
67,67,35705.289,564193812.6875,0.288,0.045,0,
68,68,35761.348,564193868.745833,0.455,0.167,0,
69,69,35817.593,564193924.9914579,0.387,0.068,0,
70,70,35872.809,564193980.206583,0.242,0.144,0,
71,71,35925.982,564194033.3796661,0.349,0.107,0,
72,72,35977.091,564194084.488625,0.153,0.196,0,
